==================== TABLE 2: SORTED BY PRICE-TO-BOOK (P/B) ====================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
SASA    |       N/A       N/A       N/A  |       0.70       1.98 |       3.3634
TSGYO   |    332.00       N/A    332.00  |       0.70      17.34 |      10.4953
PAHOL   |     10.86       N/A     10.86  |       0.70       5.32 |       0.8121
AVGYO   |       N/A       N/A       N/A  |       0.71       6.97 |       3.4717
PETKM   |       N/A      4.57       N/A  |       0.71       0.52 |       3.3440
BOSSA   |     29.55       N/A     29.55  |       0.72       1.30 |       1.2899
KOCMT   |      8.00       N/A      8.00  |       0.72       0.55 |       0.6420
ORMA    |       N/A       N/A       N/A  |       0.72       1.11 |       3.3597
REEDR   |       N/A       N/A       N/A  |       0.72       3.85 |       3.4159
TSKB    |      3.03      3.60      3.20  |       0.72       1.79 |       0.4240
CEMTS   |       N/A       N/A       N/A  |       0.73       0.80 |       3.3565
SOKM    |       N/A      3.71       N/A  |       0.73       0.10 |       3.3445
CGCAM   |     16.61       N/A     16.61  |       0.74       3.30 |       0.9610
ODAS    |     40.19      7.67     30.44  |       0.75       1.25 |       1.3334
ULKER   |     11.17      3.47      8.86  |       0.75       0.33 |       0.6811
PGSUS   |     10.18      4.84      8.58  |       0.76       0.54 |       0.6803
TRILC   |       N/A       N/A       N/A  |       0.76       0.24 |       3.3645
TRCAS   |      7.69     31.40     14.80  |       0.77        N/A |       1.0594
BORSK   |       N/A       N/A       N/A  |       0.77       1.11 |       3.3874
ATAGY   |       N/A       N/A       N/A  |       0.77      12.95 |       3.6264
ZEDUR   |     22.84       N/A     22.84  |       0.78      13.90 |       1.3783
ECILC   |       N/A       N/A       N/A  |       0.78       5.26 |       3.4760
A1CAP   |      3.54       N/A      3.54  |       0.79       0.26 |       0.4313
INVEO   |    277.67       N/A    277.67  |       0.81     -19.75 |       8.8114
MERKO   |      2.00       N/A      2.00  |       0.81      19.27 |       0.7175
KTSKR   |       N/A       N/A       N/A  |       0.81       3.31 |       3.4538
SKTAS   |     17.57       N/A     17.57  |       0.82       1.15 |       0.9898
KORDS   |       N/A     27.26       N/A  |       0.82       0.44 |       3.4004
NATEN   |     92.57       N/A     92.57  |       0.82       4.04 |       3.2544
HUNER   |       N/A       N/A       N/A  |       0.82       4.12 |       3.4769
KRVGD   |     19.20       N/A     19.20  |       0.83       0.41 |       1.0271
EUREN   |     23.47       N/A     23.47  |       0.83       1.18 |       1.1684
SELVA   |       N/A       N/A       N/A  |       0.83       1.10 |       3.4184
ARCLK   |       N/A      6.49       N/A  |       0.83       0.13 |       3.3995
MNDTR   |      6.61       N/A      6.61  |       0.84       0.39 |       0.6457
IHLGM   |      3.85       N/A      3.85  |       0.84       1.06 |       0.4814
UNLU    |       N/A       N/A       N/A  |       0.85       0.06 |       3.4080
PAGYO   |      7.71       N/A      7.71  |       0.85      11.35 |       0.9216
AKMGY   |     14.60       N/A     14.60  |       0.85       8.10 |       1.0608
GOKNR   |     20.67       N/A     20.67  |       0.86       0.56 |       1.0906
EYGYO   |       N/A       N/A       N/A  |       0.86       2.63 |       3.4668
KIMMR   |      5.69       N/A      5.69  |       0.86       0.26 |       0.5895
DGGYO   |       N/A       N/A       N/A  |       0.87      11.03 |       3.6390
BRKO    |       N/A       N/A       N/A  |       0.87      12.20 |       3.6630
GSRAY   |       N/A       N/A       N/A  |       0.87       0.87 |       3.4384
ISCTR   |      4.86      2.93      4.28  |       0.88       0.93 |       0.5158
TTKOM   |      8.03      8.32      8.12  |       0.88       0.87 |       0.7413
YYLGD   |     21.94       N/A     21.94  |       0.88       0.49 |       1.1404
GWIND   |     16.59       N/A     16.59  |       0.89       4.78 |       1.0706
AGROT   |       N/A       N/A       N/A  |       0.89       2.94 |       3.4874
AVOD    |       N/A       N/A       N/A  |       0.89       0.66 |       3.4422
BRKSN   |     23.06       N/A     23.06  |       0.90       0.88 |       1.1902
TCELL   |     12.73      8.58     11.49  |       0.90       0.95 |       0.8532
CONSE   |     19.29       N/A     19.29  |       0.90       1.35 |       1.0909
ERBOS   |       N/A       N/A       N/A  |       0.91       0.62 |       3.4518
BNTAS   |     22.79       N/A     22.79  |       0.91       1.17 |       1.1939
IMASM   |       N/A       N/A       N/A  |       0.91       1.02 |       3.4637
SERNT   |       N/A       N/A       N/A  |       0.91       1.45 |       3.4733
ASUZU   |     16.74       N/A     16.74  |       0.92       0.51 |       1.0059
CEMAS   |       N/A       N/A       N/A  |       0.95       2.40 |       3.5110
EREGL   |    596.57      6.78    419.63  |       0.95       1.31 |      12.8905
KERVN   |      2.04       N/A      2.04  |       0.95  -23579.90 |       0.5703
ISGSY   |       N/A       N/A       N/A  |       0.97        N/A |       3.6773
FLAP    |       N/A       N/A       N/A  |       0.98       2.88 |       3.5354
VAKBN   |      4.22      5.82      4.70  |       0.98       1.31 |       0.5760
PNLSN   |     11.15       N/A     11.15  |       0.99       1.05 |       0.8952
BASGZ   |     15.91       N/A     15.91  |       1.00       0.68 |       1.0295
BMSCH   |    238.17       N/A    238.17  |       1.00       0.63 |       7.5677
MTRYO   |      4.83       N/A      4.83  |       1.00       0.08 |       0.5640
QUAGR   |       N/A       N/A       N/A  |       1.01       0.98 |       3.5134
SEKFK   |      4.70       N/A      4.70  |       1.01       1.64 |       0.5887
OYYAT   |      5.83       N/A      5.83  |       1.01       0.47 |       0.6397
BRISA   |       N/A      5.14       N/A  |       1.02       0.62 |       3.5126
ECZYT   |       N/A       N/A       N/A  |       1.02        N/A |       3.7020
BINHO   |       N/A       N/A       N/A  |       1.03        N/A |       3.7070
ATLAS   |      5.49       N/A      5.49  |       1.04       0.08 |       0.6166
YIGIT   |     18.06       N/A     18.06  |       1.04       0.60 |       1.1179
YUNSA   |     11.50       N/A     11.50  |       1.05       1.42 |       0.9452
ISFIN   |      3.61       N/A      3.61  |       1.05       2.66 |       0.5504
HKTM    |       N/A       N/A       N/A  |       1.06       1.34 |       3.5498
DENGE   |       N/A       N/A       N/A  |       1.06       2.41 |       3.5714
BOBET   |       N/A       N/A       N/A  |       1.06       0.65 |       3.5368
AEFES   |     14.54      0.70     10.39  |       1.06       0.51 |       0.8993
ZRGYO   |     10.83       N/A     10.83  |       1.06      23.42 |       1.3715
KRSTL   |      7.57       N/A      7.57  |       1.06       0.63 |       0.7683
FORMT   |       N/A       N/A       N/A  |       1.06       2.71 |       3.5808
OSMEN   |     15.46       N/A     15.46  |       1.07       0.12 |       1.0433
ATAKP   |       N/A       N/A       N/A  |       1.08       1.98 |       3.5757
ERCB    |       N/A       N/A       N/A  |       1.08       0.57 |       3.5479
TUCLK   |       N/A       N/A       N/A  |       1.09       0.82 |       3.5550
ESCOM   |      3.23       N/A      3.23  |       1.09       1.93 |       0.5194
TUREX   |      2.82       N/A      2.82  |       1.09       1.00 |       0.4754
SNPAM   |       N/A       N/A       N/A  |       1.10      19.49 |       3.9354
VAKFN   |      4.21       N/A      4.21  |       1.10       5.00 |       0.6470
TLMAN   |     34.96       N/A     34.96  |       1.11       2.67 |       1.6916
VAKKO   |    208.19       N/A    208.19  |       1.13       0.60 |       6.7543
ISDMR   |     25.31       N/A     25.31  |       1.13       1.33 |       1.3912
TNZTP   |     14.76       N/A     14.76  |       1.13       2.90 |       1.1149
DOFER   |       N/A       N/A       N/A  |       1.14       0.25 |       3.5707
LIDFA   |      3.16       N/A      3.16  |       1.14       0.64 |       0.5014
IHYAY   |       N/A       N/A       N/A  |       1.14       0.22 |       3.5717
DURKN   |     54.32       N/A     54.32  |       1.15       2.64 |       2.2841
DOKTA   |       N/A       N/A       N/A  |       1.16       0.54 |       3.5901
EGGUB   |     13.93       N/A     13.93  |       1.17       2.82 |       1.1068
METRO   |       N/A       N/A       N/A  |       1.17      21.42 |       4.0122
BESTE   |     28.99       N/A     28.99  |       1.17      14.74 |       1.7910
MEDTR   |    124.35       N/A    124.35  |       1.17       0.99 |       4.3222
BASCM   |     23.90       N/A     23.90  |       1.19       0.83 |       1.3726
DESA    |      9.80       N/A      9.80  |       1.19       1.37 |       0.9590
ECOGR   |       N/A       N/A       N/A  |       1.20       3.50 |       3.6719
ENJSA   |     23.28     16.36     21.20  |       1.21       0.53 |       1.2979
PENTA   |     56.96       N/A     56.96  |       1.22       0.16 |       2.3491
TUPRS   |     13.10     10.84     12.42  |       1.23       0.49 |       1.0494
YKBNK   |      7.13      4.20      6.25  |       1.24       1.60 |       0.7473
TEZOL   |     50.47       N/A     50.47  |       1.25       1.39 |       2.1972
EKDMR   |     45.90       N/A     45.90  |       1.25       0.98 |       2.0569
MARBL   |   1300.00       N/A   1300.00  |       1.25       0.89 |      38.9408
GEDZA   |     85.61       N/A     85.61  |       1.27       1.31 |       3.2439
SURGY   |     11.82       N/A     11.82  |       1.27        N/A |       1.2477
INDES   |     11.88       N/A     11.88  |       1.28       0.09 |       1.0532
GARAN   |      4.90      4.07      4.65  |       1.28       1.59 |       0.6532
LILAK   |     13.77       N/A     13.77  |       1.28       1.68 |       1.1437
PINSU   |     50.32       N/A     50.32  |       1.29       1.17 |       2.2105
CIMSA   |     13.30      7.93     11.69  |       1.29       0.98 |       1.0755
NTGAZ   |      7.90       N/A      7.90  |       1.30       0.97 |       0.8549
RNPOL   |       N/A       N/A       N/A  |       1.30       0.77 |       3.6697
ARASE   |     24.68       N/A     24.68  |       1.30       0.83 |       1.4572
PEKGY   |     29.10       N/A     29.10  |       1.31     195.38 |       5.4817
BAKAB   |       N/A       N/A       N/A  |       1.31       0.60 |       3.6720
SAMAT   |    108.67       N/A    108.67  |       1.31      20.65 |       4.3283
ARENA   |       N/A       N/A       N/A  |       1.31       0.09 |       3.6625
AKBNK   |      6.38      4.40      5.78  |       1.32       1.91 |       0.7423
ANGEN   |       N/A       N/A       N/A  |       1.33       3.13 |       3.7332
AKFIS   |    176.79       N/A    176.79  |       1.33       4.63 |       6.0219
SANKO   |      7.70       N/A      7.70  |       1.33       0.57 |       0.8422
TAVHL   |     48.71     14.17     38.35  |       1.33       1.20 |       1.8850
GENTS   |      8.72       N/A      8.72  |       1.34       0.91 |       0.9168
CELHA   |       N/A       N/A       N/A  |       1.34       3.45 |       3.7486
ORCAY   |       N/A       N/A       N/A  |       1.36       2.17 |       3.7332
SOKE    |       N/A       N/A       N/A  |       1.37       0.76 |       3.7109
MGROS   |     16.54      8.24     14.05  |       1.37       0.28 |       1.1741
ARTMS   |     18.74       N/A     18.74  |       1.37       4.74 |       1.4013
HALKB   |     10.27      9.70     10.10  |       1.37       1.84 |       1.0337
GENKM   |     39.34       N/A     39.34  |       1.38       1.79 |       1.9492
HUBVC   |       N/A       N/A       N/A  |       1.38      97.69 |       5.6542
AKSA    |     10.62     19.19     13.20  |       1.38       1.35 |       1.1746
KFEIN   |       N/A       N/A       N/A  |       1.40       0.61 |       3.7250
DMSAS   |       N/A       N/A       N/A  |       1.41       0.63 |       3.7318
LKMNH   |     23.86       N/A     23.86  |       1.42       0.77 |       1.4964
ULAS    |       N/A       N/A       N/A  |       1.42     293.27 |       9.5865
KARSN   |     18.29       N/A     18.29  |       1.42       0.59 |       1.3314
ENKAI   |     14.55     24.39     17.50  |       1.42       3.39 |       1.3645
CMENT   |     35.55       N/A     35.55  |       1.44       1.52 |       1.8655
MAKTK   |       N/A       N/A       N/A  |       1.44       2.56 |       3.7819
HOROZ   |       N/A       N/A       N/A  |       1.45       0.48 |       3.7457
OYAKC   |     11.48       N/A     11.48  |       1.45       1.87 |       1.1420
IZENR   |     45.77       N/A     45.77  |       1.45       2.89 |       2.2022
NUHCM   |    450.20       N/A    450.20  |       1.45       1.91 |      14.0780
VAKFA   |    240.20       N/A    240.20  |       1.47       1.23 |       7.8960
YAYLA   |       N/A       N/A       N/A  |       1.47      11.91 |       3.9883
AKGRT   |      4.63      6.15      5.08  |       1.47       0.65 |       0.7100
YONGA   |       N/A       N/A       N/A  |       1.47       2.01 |       3.7916
BRYAT   |     11.40       N/A     11.40  |       1.48     277.72 |       6.6628
MARMR   |       N/A       N/A       N/A  |       1.51        N/A |       3.9705
DERHL   |       N/A       N/A       N/A  |       1.52       0.61 |       3.7892
BANVT   |       N/A       N/A       N/A  |       1.52       0.55 |       3.7906
AHSGY   |      4.59       N/A      4.59  |       1.54      26.93 |       1.2197
TRMET   |     19.59       N/A     19.59  |       1.55       2.05 |       1.4722
TKFEN   |       N/A     10.22       N/A  |       1.55       1.02 |       3.8167
JANTS   |       N/A       N/A       N/A  |       1.56       1.75 |       3.8330
OBAMS   |       N/A       N/A       N/A  |       1.56       0.76 |       3.8138
ONRYT   |       N/A       N/A       N/A  |       1.56       4.05 |       3.8811
ANSGR   |      4.51      0.99      3.46  |       1.56       0.56 |       0.6257
FRMPL   |     29.63       N/A     29.63  |       1.57       1.71 |       1.7666
OZYSR   |     35.31       N/A     35.31  |       1.57       0.73 |       1.9168
AKSEN   |     13.79     14.88     14.12  |       1.57       2.54 |       1.3320
ALVES   |     44.83       N/A     44.83  |       1.58       0.40 |       2.1946
TRENJ   |     20.16       N/A     20.16  |       1.60       1.06 |       1.4952
AKCNS   |     68.79      7.96     50.54  |       1.60       1.77 |       2.4033
EKSUN   |       N/A       N/A       N/A  |       1.60       0.37 |       3.8299
MOBTL   |     19.16       N/A     19.16  |       1.61       0.84 |       1.4652
TURGG   |   1398.00       N/A   1398.00  |       1.62        N/A |      42.2065
AVHOL   |       N/A       N/A       N/A  |       1.63       3.35 |       3.9054
ENERY   |     15.34       N/A     15.34  |       1.63       2.74 |       1.4040
LMKDC   |      8.99       N/A      8.99  |       1.64       1.63 |       1.0250
DAPGM   |     25.25       N/A     25.25  |       1.65       3.12 |       1.7135
HURGZ   |       N/A       N/A       N/A  |       1.68       3.29 |       3.9299
BTCIM   |       N/A       N/A       N/A  |       1.68       2.35 |       3.9121
BVSAN   |       N/A       N/A       N/A  |       1.69       1.34 |       3.8975
SUNTK   |     22.14       N/A     22.14  |       1.72       1.05 |       1.6202
ISMEN   |      8.00       N/A      8.00  |       1.73       0.03 |       0.9516
KLSYN   |     17.48       N/A     17.48  |       1.74       3.18 |       1.5334
PCILT   |      8.05       N/A      8.05  |       1.75       0.34 |       0.9649
DCTTR   |       N/A       N/A       N/A  |       1.75       3.29 |       3.9707
DNISI   |     64.88       N/A     64.88  |       1.75       4.95 |       2.9710
KLYPV   |       N/A       N/A       N/A  |       1.76       3.37 |       3.9788
AKHAN   |       N/A       N/A       N/A  |       1.77       1.19 |       3.9371
MAKIM   |   1954.00       N/A   1954.00  |       1.77       1.53 |      58.4742
KOTON   |      7.10       N/A      7.10  |       1.78       0.37 |       0.9124
LUKSK   |     58.44       N/A     58.44  |       1.80       6.30 |       2.8329
TBORG   |     14.34       N/A     14.34  |       1.80       1.04 |       1.3983
RUZYE   |       N/A       N/A       N/A  |       1.81       8.76 |       4.1102
FROTO   |      9.58      0.46      6.85  |       1.81       0.37 |       0.9024
OFSYM   |     29.81       N/A     29.81  |       1.82       0.46 |       1.8855
KRPLS   |       N/A       N/A       N/A  |       1.82       0.82 |       3.9604
AHGAZ   |     28.49       N/A     28.49  |       1.83       1.65 |       1.8774
RYSAS   |     12.02       N/A     12.02  |       1.85       3.50 |       1.3094
AYES    |      5.46       N/A      5.46  |       1.85       0.47 |       0.8251
ADGYO   |       N/A       N/A       N/A  |       1.85      35.22 |       4.6636
SKYMD   |       N/A       N/A       N/A  |       1.85       0.04 |       3.9622
MOPAS   |     43.06       N/A     43.06  |       1.86       0.49 |       2.3020
MERCN   |     33.27       N/A     33.27  |       1.87       1.73 |       2.0405
HEKTS   |       N/A       N/A       N/A  |       1.87       4.98 |       4.0719
ERSU    |       N/A       N/A       N/A  |       1.89       6.60 |       4.1112
KOPOL   |       N/A       N/A       N/A  |       1.89       1.67 |       4.0144
TDGYO   |     82.89       N/A     82.89  |       1.89     317.06 |       9.8206
IDGYO   |     10.02       N/A     10.02  |       1.92      29.13 |       1.7119
BEYAZ   |       N/A       N/A       N/A  |       1.93       0.13 |       4.0032
HRKET   |       N/A       N/A       N/A  |       1.93       1.97 |       4.0415
GARFA   |      4.81       N/A      4.81  |       1.93       3.04 |       0.8550
SEGMN   |     33.78       N/A     33.78  |       1.93       3.24 |       2.1220
UCAYM   |    125.41       N/A    125.41  |       1.94       2.71 |       4.8068
YGGYO   |     11.29       N/A     11.29  |       1.94      17.82 |       1.5712
KLKIM   |   1497.00       N/A   1497.00  |       1.94       1.31 |      45.1220
GLCVY   |     13.54       N/A     13.54  |       1.95       1.02 |       1.3845
HATSN   |       N/A       N/A       N/A  |       1.95       2.70 |       4.0697
ELITE   |     25.03       N/A     25.03  |       1.96       1.80 |       1.8506
GOODY   |       N/A       N/A       N/A  |       1.96       0.18 |       4.0250
SKBNK   |     13.70       N/A     13.70  |       1.97       2.31 |       1.4250
DAGI    |       N/A       N/A       N/A  |       1.97       1.03 |       4.0458
SEYKM   |    163.33       N/A    163.33  |       1.98       3.91 |       5.9732
OTTO    |    150.09       N/A    150.09  |       1.99       3.55 |       5.5781
BRSAN   |     42.90       N/A     42.90  |       1.99       1.00 |       2.3766
ALCTL   |       N/A       N/A       N/A  |       2.01       1.28 |       4.0713
TERA    |     19.16       N/A     19.16  |       2.01       0.29 |       1.6741
YKSLN   |      4.09       N/A      4.09  |       2.02       1.29 |       0.7957
MEKAG   |       N/A       N/A       N/A  |       2.03       1.07 |       4.0788
MPARK   |     14.35      8.79     12.68  |       2.04       1.47 |       1.3590
SARKY   |     75.60       N/A     75.60  |       2.05       0.31 |       3.3570
MAALT   |    306.41       N/A    306.41  |       2.06     223.38 |      14.6135
BJKAS   |       N/A       N/A       N/A  |       2.07       1.41 |       4.1066
KCAER   |    124.17       N/A    124.17  |       2.09       1.23 |       4.8260
INFO    |      5.79       N/A      5.79  |       2.09       0.32 |       0.9038
EGPRO   |     16.02       N/A     16.02  |       2.10       1.66 |       1.5951
GESAN   |     30.34       N/A     30.34  |       2.11       1.46 |       2.0828
FENER   |       N/A       N/A       N/A  |       2.11       1.80 |       4.1394
BYDNR   |       N/A       N/A       N/A  |       2.12       0.78 |       4.1218
SONME   |       N/A       N/A       N/A  |       2.13      48.61 |       5.0869
EKIZ    |       N/A       N/A       N/A  |       2.15       2.05 |       4.1624
BULGS   |      5.70       N/A      5.70  |       2.18       8.03 |       1.0733
MAVI    |     16.18      2.30     12.02  |       2.18       0.63 |       1.3353
GLYHO   |      6.78       N/A      6.78  |       2.22       1.27 |       1.0192
DGNMO   |       N/A       N/A       N/A  |       2.23       0.24 |       4.1725
TURSG   |      5.78      1.77      4.57  |       2.26       1.32 |       0.8866
CUSAN   |       N/A       N/A       N/A  |       2.26       0.66 |       4.1996
ENSRI   |       N/A       N/A       N/A  |       2.27       7.82 |       4.3439
