====================== TABLE 1: ALPHABETICAL TICKER ORDER ======================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
TUREX   |      2.82       N/A      2.82  |       1.09       1.00 |       0.4747
TURGG   |   1396.00       N/A   1396.00  |       1.61        N/A |      42.1451
TURSG   |      5.79      1.77      4.59  |       2.26       1.32 |       0.8876
UCAYM   |    125.26       N/A    125.26  |       1.94       2.70 |       4.8024
UFUK    |    154.22       N/A    154.22  |      33.16        N/A |      18.4688
ULAS    |       N/A       N/A       N/A  |       1.42     292.57 |       9.5748
ULKER   |     11.24      3.50      8.92  |       0.76       0.34 |       0.6845
ULUFA   |       N/A       N/A       N/A  |       0.50        N/A |       3.4183
ULUSE   |     31.57       N/A     31.57  |     166.57       2.80 |      43.7420
ULUUN   |    117.25       N/A    117.25  |       0.52       0.10 |       3.7342
UNLU    |       N/A       N/A       N/A  |       0.85       0.06 |       3.4093
USAK    |       N/A       N/A       N/A  |       0.37       0.74 |       3.1615
VAKBN   |      4.23      5.84      4.71  |       0.98       1.31 |       0.5767
VAKFA   |    240.80       N/A    240.80  |       1.47       1.24 |       7.9143
VAKFN   |      4.21       N/A      4.21  |       1.10       5.00 |       0.6470
VAKKO   |    206.53       N/A    206.53  |       1.12       0.59 |       6.7006
VANGD   |       N/A       N/A       N/A  |       4.44      15.52 |       5.6944
VBTYZ   |     25.46       N/A     25.46  |       3.13       1.30 |       2.4551
VERTU   |       N/A       N/A       N/A  |       0.46        N/A |       3.3941
VERUS   |       N/A       N/A       N/A  |       9.80      64.72 |       9.6281
VESBE   |       N/A      1.48       N/A  |       0.27       0.17 |       3.0954
VESTL   |       N/A      2.84       N/A  |       0.33       0.08 |       3.1220
VKFYO   |       N/A       N/A       N/A  |      14.24       4.46 |      10.1208
VKGYO   |     12.41       N/A     12.41  |       0.35       6.69 |       0.6885
VKING   |       N/A       N/A       N/A  |      16.73       1.51 |      10.6837
VRGYO   |       N/A       N/A       N/A  |       0.35      10.43 |       3.3446
VSNMD   |       N/A       N/A       N/A  |       2.91       8.21 |       4.7036
YAPRK   |    199.67       N/A    199.67  |       5.16      12.17 |       8.9547
YATAS   |     52.32     53.73     52.74  |       0.57       0.25 |       1.8688
YAYLA   |       N/A       N/A       N/A  |       1.47      11.97 |       3.9896
YBTAS   |      9.51       N/A      9.51  |       2.90       2.61 |       1.3925
YEOTK   |     22.69       N/A     22.69  |       8.01       1.96 |       3.5105
YESIL   |       N/A       N/A       N/A  |       0.65    -340.98 |       3.5013
YGGYO   |     11.37       N/A     11.37  |       1.94      17.94 |       1.5796
YIGIT   |     18.10       N/A     18.10  |       1.05       0.60 |       1.1216
YKBNK   |      7.15      4.21      6.27  |       1.25       1.61 |       0.7493
YKSLN   |      4.09       N/A      4.09  |       2.02       1.29 |       0.7957
YONGA   |       N/A       N/A       N/A  |       1.47       2.01 |       3.7916
YUNSA   |     11.51       N/A     11.51  |       1.05       1.42 |       0.9462
YYAPI   |      1.44       N/A      1.44  |       0.28     172.62 |       3.6151
YYLGD   |     22.00       N/A     22.00  |       0.88       0.49 |       1.1435
ZEDUR   |     22.66       N/A     22.66  |       0.77      13.79 |       1.3660
ZERGY   |       N/A       N/A       N/A  |       3.06      24.09 |       5.1036
ZGYO    |       N/A       N/A       N/A  |       2.32     621.56 |      16.6498
ZOREN   |       N/A       N/A       N/A  |       0.24       0.41 |       3.0827
ZRGYO   |     10.84       N/A     10.84  |       1.06      23.44 |       1.3726

################################################################################


==================== TABLE 2: SORTED BY PRICE-TO-BOOK (P/B) ====================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
---------------------------------------------------------------------------
KAYSE   |       N/A       N/A       N/A  |       0.14       0.67 |       3.0335
MNDRS   |     49.70       N/A     49.70  |       0.19       0.38 |       1.5758
MRGYO   |      1.24       N/A      1.24  |       0.23      17.99 |       0.4967
IHGZT   |      4.43       N/A      4.43  |       0.24       0.43 |       0.2705
ZOREN   |       N/A       N/A       N/A  |       0.24       0.41 |       3.0827
SNGYO   |     16.86       N/A     16.86  |       0.26       2.20 |       0.6813
NTHOL   |     12.61       N/A     12.61  |       0.26       0.78 |       0.5304
VESBE   |       N/A      1.48       N/A  |       0.27       0.17 |       3.0954
YYAPI   |      1.44       N/A      1.44  |       0.28     172.62 |       3.6151
KLGYO   |       N/A       N/A       N/A  |       0.28       5.09 |       3.1979
MEGAP   |      2.49       N/A      2.49  |       0.29       0.07 |       0.2333
EPLAS   |       N/A       N/A       N/A  |       0.30       0.47 |       3.1134
OZGYO   |     42.80       N/A     42.80  |       0.30       9.88 |       1.6209
MERIT   |      7.60       N/A      7.60  |       0.30      17.32 |       0.7359
